,Unnamed: 0,Rank_x,Age Rank,Results,Target,Age_x,First,Last,City_x,Loc,Finishes,Place,City_y,Unnamed: 4,Age_y,Gender,GP,Time,Rank_y,Unnamed: 10,Unnamed: 0.1,Unnamed: 5,Target_Seconds,Time_Seconds
0,0,87.50%,93.20%,8,5:10:11,M40-49,Danny,Luedtke,Queen Creek,AZ,,14,Queen Creek,AZ,47,M,13,6:37:42,85.69,,,,18611,23862
1,1,78.90%,75.30%,4,5:43:45,M30-39,Aaron,Barber,Phoenix,AZ,,1,Phoenix,AZ,34,M,1,4:44:04,83.15,,,,20625,17044
2,2,77.60%,80.00%,6,5:49:41,M30-39,Aaron,Hernandez,Scottsdale,AZ,,19,Scottsdale,AZ,34,M,16,6:45:11,76.53,,,,20981,24311
3,3,77.50%,,3,5:50:19,M40-49,Paul,McGowan,Chandler,AZ,,6,Chandler,AZ,46,M,6,6:14:29,77.06,,,,21019,22469
4,4,74.50%,87.80%,5,6:04:11,M30-39,Joshua,Frewin,Camp Verde,AZ,,7,Camp Verde,AZ,30,M,7,6:15:53,74.68,,,,21851,22553
5,5,86.20%,,1,6:09:25,F20-29,Amelia,Sterenberg,Phoenix,AZ,,38,Phoenix,AZ,25,F,9,7:42:58,84.75,,,,22165,27778
6,6,72.50%,81.20%,6,6:14:05,M20-29,Brendan,McInerney,Oakland,CA,,3,Oakland,CA,28,M,3,6:02:19,73.38,,,,22445,21739
7,7,72.30%,80.30%,17,6:15:19,M40-49,Tony,Garzolini,Scottsdale,AZ,,21,Scottsdale,AZ,42,M,18,6:50:58,72.12,,,,22519,24658
8,8,71.10%,83.60%,11,6:21:26,M50-59,David,Nojaim,Phoenix,AZ,,27,Phoenix,AZ,51,M,22,7:11:30,70.7,,,,22886,25890
9,9,70.60%,78.30%,33,6:24:15,M40-49,Deron,Ruse,Phoenix,AZ,,2,Phoenix,AZ,45,M,2,5:09:30,71.25,,,,23055,18570
10,10,70.30%,75.80%,18,6:26:00,M40-49,P.J.,Pethalsky,Payson,AZ,,25,Payson,AZ,46,M,20,7:05:23,70.12,,,,23160,25523
11,11,69.90%,77.40%,25,6:28:29,M40-49,Calvin,Kuo,Olympia,WA,,12,Olympia,WA,47,M,11,6:31:19,68.39,,,,23309,23479
12,12,69.60%,80.20%,4,6:29:46,M20-29,Ed,Golden,Phoenix,AZ,,23,Phoenix,AZ,25,M,19,6:55:56,69.35,,,,23386,24956
13,13,69.00%,70.80%,6,6:33:09,M30-39,Taylor,Gilbert,bagdad,AZ,,30,Bagdad,AZ,36,M,24,7:20:55,68.36,,,,23589,26455
14,14,80.80%,86.30%,14,6:34:01,F30-39,Sarah,Hodges,Heber city,UT,,11,Heber City,UT,36,F,1,6:25:47,82.07,,,,23641,23147
15,15,80.20%,,3,6:37:07,F30-39,Zorina,Curry,Las Vegas,NV,,35,Nordland,WA,35,F,8,7:33:10,81.4,,,,23827,27190
16,16,80.10%,87.20%,18,6:37:25,F30-39,Carmen,Enns,Chandler,AZ,,22,Chandler,AZ,36,F,4,6:53:58,80.79,,,,23845,24838
17,17,67.00%,73.30%,20,6:45:04,M30-39,John,Love,Cave Creek,AZ,2.0,15,Cave Creek,AZ,39,M,14,6:40:10,67.18,,,,24304,24010
18,18,78.30%,78.30%,1,6:46:36,F20-29,Dennae,Sandoe,Medford,OR,,17,Medford,OR,28,F,2,6:41:42,87.17,,,,24396,24102
19,19,66.70%,72.80%,36,6:46:43,M40-49,Steven,Dueck,Mesa,AZ,1.0,50,Mesa,AZ,44,M,38,8:31:54,66.41,,,,24403,30714
20,20,66.60%,,1,6:47:12,M30-39,Sascha,Haubner,New York,NY,,9,New York,NY,33,M,9,6:19:58,70.7,,,,24432,22798
21,21,66.20%,85.00%,20,6:50:13,M50-59,Ilija,Mijocevic,TEMPE,AZ,2.0,13,Tempe,AZ,57,M,12,6:33:04,66.44,,,,24613,23584
22,22,65.70%,,2,6:53:17,M40-49,Jason,Tippetts,Durham,NC,,16,Durham,NC,48,M,15,6:40:10,67.44,,,,24797,24010
23,23,77.00%,87.40%,17,6:53:31,F40-49,Christi,Haswell,Sheridan,WY,,43,Sheridan,WY,46,F,11,7:51:48,77.24,,,,24811,28308
24,24,65.50%,,5,6:54:10,M50-59,Ron,Broglio,Phoenix,AZ,,36,Phoenix,AZ,55,M,28,7:34:41,65.01,,,,24850,27281
25,25,74.40%,78.80%,62,7:07:41,F30-39,Desiree,Marek,Colorado Springs,CO,,18,Flagstaff,AZ,39,F,3,6:42:44,74.77,,,,25661,24164
26,26,63.30%,89.90%,118,7:08:25,M60-69,Dan,Aspromonte,Scotts Valley,CA,,41,Scotts Valley,CA,66,M,31,7:47:39,63.23,,,,25705,28059
27,27,62.30%,75.00%,174,7:15:21,M60-69,John,Taylor,Minneapolis,MN,,53,Minneapolis,MN,60,M,40,8:43:30,62.28,,,,26121,31410
28,28,62.00%,64.20%,9,7:18:02,M30-39,Derek,Burr,Phoenix,AZ,1.0,39,Phoenix,AZ,33,M,30,7:45:16,61.86,,,,26282,27916
29,29,61.40%,68.60%,11,7:21:40,M30-39,Trevor,Denton,Mesa,AZ,,56,Mesa,AZ,38,M,43,8:58:16,60.72,,,,26500,32296
30,30,61.30%,70.90%,82,7:22:23,M60-69,Scott,Kruis,Corvallis,OR,,45,Corvallis,OR,60,M,33,7:57:40,61.31,,,,26543,28660
31,31,61.30%,67.80%,17,7:22:32,M50-59,Galen,Meysenburg,Elkhorn,NE,2.0,48,Elkhorn,NE,50,M,36,8:22:45,61.05,,,,26552,30165
32,32,61.20%,70.40%,30,7:23:32,M50-59,Jeremy,Mayberry,Phoenix,AZ,,54,Phoenix,AZ,51,M,41,8:47:05,60.94,,,,26612,31625
33,33,71.00%,79.70%,8,7:28:25,F30-39,Stephanie,Decker,Bremerton,WA,,40,Bremerton,WA,35,F,10,7:45:21,76.44,,,,26905,27921
34,34,59.90%,85.00%,96,7:32:43,M60-69,Dean,Hansen,Prescott,AZ,11.0,60,Prescott,AZ,66,M,46,9:45:26,59.82,,,,27163,35126
35,35,59.40%,73.30%,22,7:37:08,M50-59,David,Sadorf,Tucson,AZ,2.0,49,Tucson,AZ,55,M,37,8:22:45,59.24,,,,27428,30165
36,36,68.80%,84.40%,17,7:43:01,F50-59,Sandra,Prosko,Parkland County,AB,,34,Parkland County,AB,56,F,7,7:31:13,69.68,,,,27781,27073
37,37,58.50%,74.50%,45,7:43:33,M60-69,David,Payton,Phoenix,AZ,2.0,31,Phoenix,AZ,60,M,25,7:21:59,58.67,,,,27813,26519
38,38,58.10%,75.60%,141,7:47:27,M60-69,Jeff,Pettett,Chandler,AZ,2.0,47,Chandler,AZ,61,M,35,8:19:40,58.04,,,,28047,29980
39,39,68.10%,80.00%,1,7:47:31,F40-49,Sarah,Payton,Woodbury,MN,,52,Woodbury,MN,41,F,13,8:36:32,71.39,,,,28051,30992
40,40,57.20%,56.60%,3,7:54:09,M30-39,Adam,Signoretta,CHandler,AZ,,20,Chandler,AZ,37,M,17,6:47:26,60.35,,,,28449,24446
41,41,57.10%,59.10%,8,7:55:09,M30-39,Justin,Glorvigen,Denver,CO,,26,Denver,CO,33,M,21,7:10:40,58.09,,,,28509,25840
42,42,55.70%,64.00%,11,8:07:26,M40-49,James,Bock,San Tan Valley,AZ,,61,San Tan Valley,AZ,47,M,47,10:04:13,54.95,,,,29246,36253
43,43,55.40%,68.80%,10,8:09:28,M40-49,Jason,Moore,Buena Vista,CO,,46,Buena Vista,CO,49,M,34,8:04:37,60.14,,,,29368,29077
